id,prompt
40,"Librería antigua, chica ojeando un libro viejo, ropa de lana cómoda (jersey cuello alto), gafas, expresión tímida."
41,"Parking de noche (encuentro de coches), chica apoyada en un coche deportivo modificado, sudadera con capucha, actitud callejera."
42,"Chica con uniforme sanitario (pijama) pero arreglada, tomando un café rápido, ojeras disimuladas, sonrisa cansada pero amable."
43,"Habitación llena de peluches y posters de anime, chica con coletas, ropa colorida estilo Harajuku, sonrisa muy infantil y alegre."
44,"Ring de boxeo o gimnasio, chica con guantes puestos, ropa deportiva negra, sudando, mirada desafiante y fuerte."
45,"Bosque, chica abrazando un árbol o caminando por un sendero, ropa estilo hippie/montaña, mochila, luz filtrada por las hojas."
46,"Plaza de pueblo en fiesta mayor, chica con pañuelo casteller o ropa casual, sonriendo entre la multitud, ambiente festivo diurno."
47,"Estudio de tatuajes, chica con muchos tatuajes en los brazos, camiseta de banda de metal, piercing en la nariz, actitud ""badass""."
48,"Rooftop bar de lujo con vistas a la ciudad de noche, chica con vestido elegante, copa de champán, mirando la ciudad con superioridad divertida."
49,"Paseo marítimo, chica subida a un surfskate, pelo suelto y largo, shorts vaqueros, camiseta de tirantes, relajada."
50,"Aula colorida o parque, chica con ropa cómoda y colorida (peto), manos manchadas de pintura de dedos, sonrisa muy maternal."
51,"Club industrial, luces rojas, chica con arnés de cuero sobre camiseta negra, gafas de sol rápidas, actitud desafiante."
52,"Mesa de restaurante llena de platos, chica sonriendo con una copa de vino, iluminación cálida y elegante."
53,"Skatepark de hormigón, chica sentada en su tabla, gorra hacia atrás, ropa ancha, rodillas raspadas, actitud ""tomboy""."
54,"Estudio lleno de planos, luz de flexo, chica con el pelo recogido con un lápiz, gafas, mirando un plano con concentración."
55,"Cima de una montaña en Pirineos, chica con estelada o bandera en la mochila, ropa de senderismo, aire puro."
56,"Habitación con velas y cristales, chica vestida de terciopelo oscuro, acariciando un gato negro, atmósfera mística."
57,"Cine antiguo vacío, chica comiendo palomitas con expresión sarcástica, camiseta de película de terror clásica."
58,"Discoteca con luces de neón, chica bailando con amigas, vestido brillante corto, maquillaje con purpurina, muy alegre."
59,"Tienda de bubble tea, chica haciendo el símbolo de corazón con los dedos, ropa estilo coreano ""soft"", colores pastel."
60,"Box de Crossfit, chica levantando pesas, cuerpo atlético y sudado, expresión de esfuerzo y determinación."
61,"Selfie en un espejo de ascensor, ropa casual de universitaria (jeans y top), mochila, cara de ""a ver qué pasa""."
62,"Puerta trasera de una furgoneta abierta frente al mar, chica tocando el ukelele, descalza, estilo hippie-surfer."
63,"Setup gaming con luces LED rosas/azules, chica con cascos de orejas de gato, sudadera oversize, sonrisa tímida."
64,"Tienda de lujo o lobby de hotel, chica con bolsas de compra, gafas de sol oscuras, actitud diva pero elegante."
65,"Calle con grafiti, chica sentada en cuclillas (pose trap), ropa ancha de marca, zapatillas caras, mirada dura."
66,"Rincón de lectura con manta, chica leyendo un libro grueso, taza de té, gafas, luz de ventana de día lluvioso."
67,"Barra de bar rockero, chica con chaqueta de cuero llena de parches, cerveza en mano, flequillo cortado a tijera."
68,"Calles del centro, chica con cámara vintage al cuello, ropa estilo ""art hoe"" (peto colorido), buscando el encuadre perfecto."
69,"Terraza soleada, chica rubia con piel clara, riendo, con una sangría, apariencia turística pero integrada."
70,"Refugio de perros, chica rodeada de cachorros, ropa cómoda y sucia de jugar, sonrisa genuina y feliz."
71,"Sofá, chica con manta de friki, bol de palomitas, camiseta de ""Winter is Coming"", cara de emoción viendo la TV."
72,"Al lado de una moto deportiva, chica quitándose el casco, pelo revuelto, mono de cuero, mirada desafiante."
73,"Playa al amanecer, chica haciendo una postura de yoga (árbol), contraluz, silueta relajada y equilibrada."
74,"Baño de discoteca, selfie en el espejo con morritos, ropa corta de fiesta, luz de neón rosa."
75,"Hospital (pasillo), chica con uniforme azul, tomando café de máquina, ojeras pero sonrisa dulce, aspecto cansado."
76,"Sala de música, chica sujetando un violín, vestido elegante pero discreto, postura recta y refinada."
77,"Terraza de bar, chica riendo a carcajadas con la cabeza echada atrás, cerveza en la mesa, espontaneidad total."
78,"Salón lleno de plantas colgantes, chica regando con mimo, ropa de lino o algodón, luz natural filtrada."
79,"Atardecer en la playa, chica sentada en el techo de una furgoneta, mirando el mar, pelo al viento."
80,"Edificio moderno de fondo, chica vestida con ropa minimalista negra, gafas de diseño, bolso de arquitecto (tubo planos)."
81,"Evento de cómic, chica disfrazada de personaje de anime popular (pelo rosa/azul), pose ""kawaii"", fondo colorido."
82,"Carretera de montaña, chica con maillot de ciclismo, casco y gafas, apoyada en su bici, bronceada por el sol (""marca ciclista"")."
83,"Escenario de teatro o camerino, luces de espejo, chica maquillándose o ensayando, expresión dramática."
84,"Rave al aire libre, chica bailando con gafas de sol oscuras (de día), botella de agua en mano, energía inagotable."
85,"Despacho u oficina, chica con traje de chaqueta, brazos cruzados, mirada analítica e inteligente."
86,"Festival de música (césped), chica sentada con corona de flores o purpurina, vaso de festival en mano, ambiente veraniego."
87,"Cocina harinada, chica con delantal manchado de chocolate, ofreciendo una cuchara para probar, sonrisa acogedora."
88,"Calle comercial de moda, chica posando tipo ""street style"", outfit muy trendy, bolso de marca, mirando al infinito."
89,"Pared de ladrillo, chica con mangas tatuadas, camiseta de grupo rock, múltiples piercings en la oreja, actitud relajada."
90,"Bosque nublado, chica con chubasquero amarillo, botas de agua, dos perros grandes con correa, ambiente otoñal."
91,"Habitación oscura solo iluminada por el monitor, primer plano de cara concentrada, auriculares con micro, reflejo del juego en las gafas."
92,"Aeropuerto (zona de embarque), chica durmiendo sobre su mochila en el suelo o esperando, ropa cómoda, cartel de destino exótico."
93,"Cafetería tranquila, chica con jersey de cuello vuelto, sosteniendo una taza con las dos manos, mirada atenta de ""te estoy escuchando""."
94,"Delante de un mural de grafiti colorido, chica con tabla de skate bajo el brazo, gorra de lana, sonrisa de medio lado."
95,"Sofá de casa con manta, chica con ropa de estar por casa cómoda, copa de vino tinto, TV de fondo encendida."
96,"Habitación decorada con luces de hadas, chica leyendo una carta astral o un libro de horóscopos, mirada soñadora."
97,"Evento benéfico o calle, chica con peto de voluntaria, carpeta en mano, hablando con alguien con una sonrisa amable."
98,"Parque o habitación luminosa, chica haciendo un baile viral frente al móvil apoyado en algo, riendo."
99,"Librería enorme (pasillo), chica intentando alcanzar un libro de una estantería alta (de puntillas), estética adorable."
100,"Collage o imagen dinámica: chica corriendo o saltando en un entorno urbano/natural, ropa versátil, expresión de pura vitalidad."
