id,prompt,enhanced_prompt
11,"Entorno de oficina moderna o coche de alta gama, chica con traje sastre, mirada segura a cámara, estética ""Girlboss"".","Confident woman in her late 20s, sharp jawline, short dark bob with tousled ends, wearing a tailored navy blue blazer with structured shoulders over a white silk blouse, standing in a relaxed pose facing a large floor-to-ceiling window in a modern open-plan office, holding a black leather-bound notebook, direct eye contact with a mirror selfie taken with a silver iPhone with three cameras, pale skin with subtle freckles, strong cheekbones, bold red lips, midday sunlight casting soft shadows across her face, natural window light with slight overexposure on the window frame, amateur cellphone photo quality with visible sensor noise, slightly over-sharpened edges, blown-out highlights on the window, casual yet powerful ""Girlboss"" vibe, minimalist office backdrop with a sleek black desk, potted fern, and a laptop open to a spreadsheet, professional but approachable demeanor, slight smirk at the corners of her mouth, tailored suit with a subtle gold belt, neutral tones with a pop of red from her lips, unposed but composed posture, casual hand resting on the notebook, realistic imperfections and authentic smartphone image quality."
12,"Campus universitario, chica sentada en el césped con carpetas, sudadera de universidad, riendo con naturalidad, estética casual.","Relaxed girl with average features, medium height, sitting cross-legged on a sun-warmed grassy quad with a stack of textbooks and a water bottle, laughing genuinely as she leans back on her elbows, casual university hoodie in navy and gold with faded school logo, messy dark brown hair in a loose ponytail, soft focus from a handheld iPhone 14 Pro with visible lens, dappled afternoon sunlight filtering through oak trees, slight motion blur from a quick shutter snap, unposed expression with faint smile lines, casual denim jeans with frayed edges, library books and a notebook scattered nearby, authentic smartphone photo quality with sensor noise and uneven exposure, warm golden hour tones, laid-back student vibe."
13,"Tienda de discos, chica con estilo años 70, pantalones campana, chaleco de punto, sosteniendo un vinilo, filtro retro.","Fashionable woman in her late 20s with round face, wavy brown hair in a loose side braid, wearing high-waisted bell-bottom jeans in faded olive green, cropped black knit vest with geometric patterns, holding a vintage vinyl record by the edge with both hands, standing in a cluttered vintage record store with wooden shelves, yellowing posters on the walls, warm golden-hour light filtering through dusty windows, slightly out-of-focus background with blurred record covers, natural handheld iPhone photo with visible lens flare, soft shadows under her chin, slight sensor noise, retro color grading with muted sepia tones, casual confident stance with one hip cocked, authentic vintage aesthetic without overt styling."
14,"Salón acogedor, chica con camiseta friki (GOT o Star Wars), taza de té, rodeada de libros, gafas, sonrisa inteligente.","Smartphone mirror selfie taken with a silver iPhone with three cameras, pretty girl with no makeup, average height, standing in a relaxed pose holding a steaming mug of tea with both hands, soft oval face, light brown hair in a messy low ponytail, black Star Wars T-shirt with a white logo, round glasses with thick black frames, warm golden hour light filtering through a sheer curtain behind a wooden bookshelf filled with novels, casual and authentic Tinder photo, slight sensor noise, over-sharpened edges, blown-out highlights on the curtain, amateur cellphone photo quality, natural lighting from a floor lamp casting soft shadows, relaxed posture with one hip slightly turned, smart confident expression with a slight upward tilt of the lips, cozy living room vibe with a plush armchair and a low coffee table in the background, casual and intellectual aesthetic."
15,"Apoyada en una moto custom, chica con chupa de cuero, vaqueros gastados, botas militares, casco en mano, actitud rockera.","Confident woman with sharp cheekbones, medium build, leaning casually on a vintage chopper motorcycle with chrome exhaust pipes, wearing a fitted black leather biker jacket with frayed edges, faded blue denim jeans with frayed knees, combat boots with scuffed soles, holding a matte black motorcycle helmet with a cracked visor, tousled dark brown hair with a few loose strands, smoky gray eyes with subtle eye makeup, sun-kissed skin with a faint tan line, midday sunlight casting long shadows across her face, slightly overexposed highlights on her cheekbones, amateur phone photo with visible iPhone 14 camera lens, slight motion blur from a handheld shot, graffiti-covered brick wall in the background, edgy rockabilly vibe, relaxed but magnetic posture, natural imperfections like a faint blemish on her jawline, slightly tilted head with a half-smirk, urban street setting with a parked motorcycle and a distant neon sign."
16,"Terraza en Gracia (BCN), sol de mediodía, chica con gafas de sol y camisa de lino, tomando un vermut, estética hipster local.","Cute girl with natural makeup, average height, sitting at a worn wooden table on a sunlit Barcelona terrace with exposed brick walls, holding a stemmed vermut glass with a lemon twist, wearing a light beige linen shirt with rolled-up sleeves and a white cotton skirt, vintage aviator sunglasses perched on her head, messy chestnut hair in a loose bun with a few strands falling, midday sunlight casting sharp shadows across her face and the table, visible iPhone with triple camera lens in the lower right corner, slightly out-of-focus background with a potted succulent and a local newspaper, warm golden-hour tones, amateur phone photo quality with sensor noise, blown-out highlights on the terrace floor, casual and authentic hipster vibe."
17,"Habitación con velas y plantas, chica con ropa fluida y muchos collares de cuarzos, mirando a cámara con serenidad mística.","Calm woman with soft features, medium height, wearing a loose off-white linen dress with flowing sleeves, standing in a dimly lit living room with tall potted ferns and flickering candlelight, multiple quartz necklaces layered around her neck, slightly tilted head with a serene half-smile, natural brown hair in a loose low bun with a few strands falling over her shoulders, warm golden hour light filtering through sheer curtains behind her, slight lens flare from a window, amateur iPhone photo with visible camera lens and three camera array, soft focus on her face with slightly blurred candle shadows in the background, earthy color palette with muted greens and warm amber tones, mystical yet grounded aesthetic, relaxed posture with hands resting on a wooden coffee table, casual and authentic Tinder photo."
18,"Foto divertida haciendo una mueca o sacando la lengua, ropa de casa colorida, comiendo un trozo de pizza, espontánea.","Playful girl with messy hair, wearing oversized neon pink and yellow pajama set with cartoon dinosaurs, mid-bite into a gooey cheese pizza with pepperoni, sticking out her tongue and squinting through a phone screen, mirror selfie shot with a cracked iPhone 13 Pro Max, dimly lit living room with a throw blanket and scattered books on a wooden floor, soft shadows from a desk lamp, slightly out-of-focus background with a framed poster of a cat, casual messy hair with a few strands sticking up, natural freckles across her nose, slightly blurred pizza cheese droplets on her chin, amateur phone photo quality with visible sensor noise and slight over-sharpening, spontaneous and flirty expression, warm golden hour light spilling through a half-closed curtain, vibrant but unposed color palette."
19,"Micrófono de comedia de fondo o bar nocturno, chica riendo a carcajadas con una cerveza, expresión muy viva y alegre.","Lively girl with warm brown hair in a loose ponytail, mid-laugh with eyes crinkled and cheeks flushed, holding a half-empty amber beer glass with one hand while the other clutches her stomach, handheld iPhone photo taken from the side at a dimly lit comedy club with neon bar signs and a crowd in the background, soft focus on her face with slight motion blur from her movement, warm amber stage lighting casting highlights on her face and shoulders, casual white tank top with a denim jacket draped over her arms, messy hair with a few strands falling over her forehead, natural skin texture with visible freckles, relaxed posture leaning slightly forward with a genuine, unposed expression, smartphone photo quality with visible sensor noise and slight over-sharpening, vibrant but uneven lighting from overhead club lights, casual and authentic Tinder photo."
20,"Club hípico o barco, chica con polo de marca, jersey al cuello, pelo rubio liso impecable, sonrisa perfecta, estética ""Old Money"".","Blonde-haired woman with naturally straight hair, slight wind-blown strands, wearing a tailored navy Ralph Lauren polo over a white turtleneck, standing on a private yacht's white marble deck holding a champagne flute, casual yet polished posture leaning against a vintage wooden railing, soft golden-hour light reflecting off the water with lens flare, iPhone 14 Pro Max with leather case visible in the frame, pale oval face with subtle freckles, confident but relaxed smile, vintage sailboat in the distance, authentic smartphone photo quality with slight sensor noise, over-sharpened edges, blown-out highlights on the water, muted pastel color palette, Old Money aesthetic through tailored clothing and yacht setting, natural lighting with soft shadows under the chin, unposed body language with one hand resting on the railing."
21,"Cafetería rosa, chica con ropa pastel estilo coreano, haciendo el símbolo de la paz con los dedos, filtro suave y luminoso.","Cute girl with soft features, round face, light brown hair in a high ponytail with a pink hair tie, holding a white ceramic coffee cup with a pink heart design, standing in a relaxed pose with one hand making the peace sign and the other resting on the back of a wooden café chair, eye-level mirror selfie taken with a silver iPhone with three cameras, pastel lavender sweater with a white collared shirt underneath and matching high-waisted skirt, soft pink café walls with white wooden tables and green plants in the background, warm golden-hour light filtering through sheer white curtains, amateur cellphone photo quality with slight sensor noise, over-sharpened edges, blown-out highlights on the coffee cup, casual and approachable vibe, soft focus on the face with a gentle glow from the lighting, Korean-inspired pastel aesthetic with minimalist decor and a relaxed, friendly expression."
22,"Aeropuerto o estación de tren, chica con mochila grande de viajera, pasaporte en mano, ropa cómoda, mirando al horizonte emocionada.","Young woman with natural features, average height, standing in a relaxed pose holding a passport in one hand and a large travel backpack in the other, eye-level mirror selfie taken with a silver iPhone with three cameras, olive skin, warm brown hair in a loose ponytail with a few strands escaping, oversized navy blue hoodie with a travel-themed graphic, high-waisted black jeans, chunky white sneakers, airport-style transparent plastic luggage cart and a distant train platform visible in the background, soft golden-hour light filtering through high windows casting warm shadows across her face, amateur cellphone photo quality with visible sensor noise, slightly over-sharpened edges, blown-out highlights on the luggage cart, casual and authentic Tinder photo."
23,"Habitación con luces LED moradas, chica con auriculares gamer grandes, sudadera oversize, mirada concentrada frente al monitor.","Cute girl with no makeup, average height, sitting cross-legged on a black leather gaming chair in a dimly lit room, oversized gray hoodie with a faded logo, large black wired gaming headphones with LED lights glowing purple, focused expression with slightly furrowed brows and parted lips, hands resting on a mechanical keyboard with RGB lighting, blue glow from a curved monitor displaying a game screen, purple LED strips casting a neon haze across her face and the room, soft shadows under her eyes, slightly overexposed highlights on her hair, amateur smartphone photo taken from a low angle with visible fingerprint smudges on the screen, casual and authentic Tinder photo."
24,"Coche descapotable o ventanilla bajada, chica con gafas de corazón, pelo al viento, cantando, fondo de carretera costera.","Young woman with natural freckles, medium build, holding a steering wheel with one hand and heart-shaped sunglasses on, mirror selfie taken from the driver's seat of a vintage red convertible with a cracked windshield, wind-blown auburn hair framing her face, singing into a cracked iPhone with visible camera array, sunlit coastal highway with palm trees and ocean in the background, golden hour lighting casting long shadows, slightly overexposed highlights on her face, soft lens flare from the sunset, casual white tank top with a faded band T-shirt underneath, denim shorts with frayed edges, cracked phone screen reflecting the road, amateur phone photo quality with visible sensor noise and slight motion blur, relaxed confident expression, warm coastal breeze blowing through open window, vintage car license plate partially visible, casual and authentic Tinder photo."
25,"Campo de flores, chica con vestido floral ligero, abrazando a un Golden Retriever, luz dorada de atardecer, sonrisa radiante.","Young woman with natural features, average height, standing in a relaxed pose hugging a golden retriever with a red collar, eye-level handheld smartphone photo taken with a black iPhone, soft round face, warm olive skin, dark wavy hair in a loose ponytail with a few petals stuck in the hair, light pastel lavender sundress with a floral pattern and a flowing skirt, golden hour sunlight casting long shadows through the field of wildflowers behind her, warm amber highlights on her face, slightly blurred background with a mix of tall grass and dandelions, amateur cellphone photo quality with slight sensor noise, over-sharpened edges, blown-out highlights in the sky, casual and authentic Tinder photo."
26,"Galería de arte, chica vestida de negro minimalista, cámara colgada al cuello, observando un cuadro, perfil intelectual.","Attractive woman in her late 20s with fair skin, high cheekbones, and sharp jawline, wearing a tailored black minimalist dress with a V-neck and wide-leg trousers, standing in a relaxed pose holding a silver DSLR camera around her neck, eye-level mirror selfie taken with a black iPhone 14 Pro Max, looking thoughtfully at a large abstract painting with bold geometric shapes in the background, soft natural gallery lighting casting subtle shadows across her face, slightly blurred edges from a handheld shot, visible sensor noise, blown-out highlights on the artwork, casual yet confident posture with one hand resting on the camera strap, modern art museum setting with white walls and minimalist furniture, intellectual and cultured vibe, natural makeup with defined eyebrows and soft lip color, straight dark hair in a low ponytail, slightly over-sharpened iPhone photo quality with a faint HDR glow."
27,"Playa, chica con neopreno a medio poner, tabla de surf bajo el brazo, pelo mojado, pecas, sonrisa natural sin maquillaje.","Tanned girl with freckles on her nose and cheeks, mid-20s, standing in a relaxed pose adjusting a black wetsuit top over her shoulders, eye-level mirror selfie taken with a blue iPhone 14 Pro Max showing three cameras, wet dark brown hair dripping water down her neck, natural freckled face with no makeup, soft round face, medium build, wearing a white wetsuit top halfway over her torso and a neon green bikini bottom, holding a red surfboard under her left arm, sandy beach backdrop with a faded towel and a teal surfboard rack in the background, midday sunlight casting sharp shadows under her arms and across her chest, amateur cellphone photo quality with visible sensor noise, slightly over-sharpened edges, blown-out highlights on her hair and crushed shadows under her arms, casual and authentic summer vibe, confident but unposed expression."
28,"Estudio de pintura manchado, chica con peto vaquero manchado de pintura, moño despeinado, pincel en la boca, mirada creativa.","Young woman in her late 20s with warm olive skin, freckles across her nose, messy dark brown hair in a loose high ponytail with a few strands escaping, wearing paint-splattered denim overalls with blue and white stains on the knees and arms, holding a small paintbrush in her mouth while laughing, eye-level mirror selfie taken with a silver iPhone showing three cameras, soft natural light from a window casting dappled shadows across her face, a half-finished abstract painting on the wall behind her, a palette of mixed colors on a wooden easel, a few paint cans and brushes scattered on a wooden floor, slight sensor noise, over-sharpened edges, blown-out highlights on her hair, casual and authentic Tinder photo with a playful, creative vibe."
29,"Cancha de baloncesto urbana, chica con ropa ancha (streetwear), gorra hacia atrás, zapatillas Jordan, sentada sobre un balón.","Relaxed girl with average build, sitting on a basketball with one leg crossed over the other, eye-level mirror selfie taken with a black iPhone 14 Pro Max, loose gray oversized hoodie with a faded band T-shirt peeking out, dark brown hair in a messy low ponytail with a few strands falling over her face, white Jordan 1s with red accents, backward black baseball cap with a faded logo, casual smirk, urban concrete basketball court with a chain-link fence and graffiti-stained walls in the background, late afternoon golden hour lighting casting long shadows, amateur phone photo quality with slight sensor noise, over-sharpened edges, blown-out highlights on her face, casual streetwear vibe, relaxed posture, slightly out-of-focus basketball in the foreground, faded ""10"" decal on the hoop, casual and authentic Tinder photo."
30,"Restaurante elegante, chica con vestido de cóctel, sosteniendo una copa y riendo, mesa con platos bonitos delante.","Charming woman in her late 20s with warm hazel eyes, wearing a navy blue satin slip dress with a subtle metallic sheen, standing at a curved mirror in a high-end restaurant's private dining area, holding a champagne flute with a playful smirk, soft ambient lighting from crystal chandeliers casting golden reflections on her hair, which is styled in a loose low bun with a few wispy strands escaping, pale skin with a natural glow, full lips slightly parted in laughter, a white linen tablecloth with a silver-plated tray of delicate pasta dishes and wine glasses in the background, amateur iPhone photo with visible camera array, slight sensor noise, blown-out highlights from the chandeliers, uneven lighting shadows on her face, casual relaxed posture leaning slightly against the mirror frame, natural skin texture with faint freckles, soft focus on her face with slightly over-sharpened edges, warm golden hour tones bleeding through the glass, confident yet approachable demeanor, elegant but unpretentious aesthetic."
31,"Convención de cómics, chica haciendo cosplay (disfrazada) de personaje de anime, pose divertida, colorido y vibrante.","Young woman in her mid-20s with a petite frame, standing in a playful pose mid-twirl with a glowing anime-style wand in her hand, mirror selfie taken with a rose-gold iPhone 14 Pro Max showing the triple camera array, wearing a pink and gold frilly cosplay dress with a choker and elbow-length gloves, messy dark brown hair in a high ponytail with a few loose strands, bright red lips slightly smudged from laughter, vibrant convention hall background with colorful banners and other cosplayers in the distance, harsh overhead lighting casting sharp shadows under her chin, amateur phone photo quality with visible sensor noise and slight over-sharpening, blown-out highlights on her shoulder and crushed shadows under her arms, casual and energetic Tinder photo with a mischievous grin and one eye slightly out of focus."
32,"Invernadero o jardín, chica con sombrero de paja, regadera en mano, rodeada de plantas verdes, luz suave y natural.","Cute girl with minimal makeup, average height, standing in a relaxed pose holding a copper watering can with one hand, eye-level mirror selfie taken with a black iPhone with three cameras, soft oval face, freckled nose, light brown hair in a loose braid with a few strands escaping, light green linen dress with a floral pattern and a white straw hat tilted to one side, surrounded by tall green ferns and blooming lavender plants, golden hour sunlight filtering through tall trees casting dappled shadows on her face and arms, amateur cellphone photo quality, slight sensor noise, over-sharpened edges, blown-out highlights on the foliage, natural skin texture with a faint tan, casual and earthy Tinder photo."
33,"Pasillo de club con luces estroboscópicas, chica vestida totalmente de negro, gafas de sol rápidas, actitud seria y ""cool"".","Confident woman with sharp cheekbones and short dark hair in a high ponytail, mirror selfie taken with a black iPhone in a dimly lit club hallway, all-black outfit consisting of a cropped leather jacket, high-waisted black jeans, and chunky combat boots, silver hoop earrings and a black choker necklace, fast mirrored sunglasses with a slight smudge on the lens, strobe lights casting fragmented shadows across her face and the hallway walls, slightly blurred background with neon signs and mirrored surfaces reflecting her image, amateur phone photo with visible sensor noise, over-sharpened edges, and uneven lighting from multiple strobe sources, cool and unflinching expression with a faint smirk, casual stance leaning against a black metal doorframe, nighttime club vibe with a moody, edgy aesthetic."
34,"Salón con luz baja, chica en el sofá con una manta y un gato negro, mirando a la cámara con expresión intrigante.","Attractive woman with natural features, petite frame, sitting cross-legged on a cream-colored sofa wrapped in a chunky knit gray blanket, soft oval face with high cheekbones, dark brown hair in a messy low ponytail, wearing a pale lavender long-sleeve sweater with a subtle floral pattern, black cat sitting on the armrest gazing at her with glowing eyes, low-angle handheld iPhone photo taken in a dimly lit modern living room with warm amber pendant lights, wooden floorboards, a bookshelf with art books and potted succulents in the background, soft shadows under her eyes, slight lens flare from a nearby lamp, natural skin texture with faint freckles, relaxed posture with one leg curled under her, casual and mysterious Tinder vibe, slight sensor noise, uneven lighting, blown-out highlights on the blanket, amateur composition with the cat's face slightly out of focus."
35,"Gimnasio, chica frente al espejo haciendo pose de bíceps, ropa deportiva ajustada (leggins y top), coleta alta, sudada.","Fit girl with natural features, medium build, standing in a relaxed bicep pose in a mirror selfie, eye-level shot with a black iPhone showing three cameras, damp hair in a high messy ponytail, dark navy leggings and a neon pink sports bra with a white tank top underneath, light sweat on her forehead and neck, gym background with a treadmill and dumbbells visible in the reflection, harsh overhead gym lighting casting sharp shadows, amateur phone photo quality with visible sensor noise, slightly over-sharpened edges, blown-out highlights from the lights, casual confident expression, slightly smudged makeup, gym towel draped over her shoulder, summer gym vibe, realistic sweat and imperfections, unposed and authentic Tinder photo."
36,"Habitación con tapices de mandalas, chica sentada en posición de loto, barajando cartas del tarot, iluminación violeta.","Calm girl with long wavy brown hair, sitting cross-legged on a woven rug in a dimly lit studio apartment, holding a single tarot card between her fingers, soft violet glow from a string of fairy lights above casting shadows on her face, natural freckles, soft oval face with neutral makeup, oversized black sweater draped over her shoulders, wooden floorboards visible beneath her, casual mirror selfie taken with an iPhone 14 Pro, slight sensor noise, uneven lighting from a side window, faint reflection of a mandala tapestry on the wall behind her, relaxed posture with one leg bent, authentic Tinder photo with unposed expression and natural imperfections."
37,"Entrada de una sala de conciertos, chica con chaqueta vaquera con parches, camiseta de grupo indie, cigarro (opcional) en mano.","Girl with tousled dark hair in a messy low ponytail, wearing a faded denim jacket with visible leather patches and a graphic tee with a hand-drawn indie band logo, standing in a slightly slouched pose holding a cigarette between her fingers, eye-level mirror selfie taken with a black iPhone, smudged mascara, pale skin with faint freckles, tired but confident expression, dimly lit concert venue entrance with flickering neon signs and a crowd of people in the background, warm amber stage lights casting long shadows, slightly over-exposed highlights on her face, grainy texture, slightly blurred edges, casual and edgy Tinder photo."
38,"Estudio de arquitectura, chica trabajando en una maqueta con precisión, ropa minimalista (blanco/negro/gris), ambiente limpio.","Smartphone mirror selfie of a focused woman in a clean white studio, mid-30s, lean athletic build, wearing a crisp white linen shirt with rolled sleeves and high-waisted black trousers, hands carefully adjusting a 3D-printed architectural model on a wooden desk, pale skin with faint freckles, sharp jawline, short dark hair in a low ponytail, natural window light casting soft shadows across her face, a ruler and pencil visible on the desk, muted gray-blue background with white architectural blueprints pinned to the wall, slightly over-sharpened edges, minor sensor noise, blown-out highlights on the model, casual yet precise posture, professional but approachable demeanor, minimalist modern aesthetic, no makeup, subtle eye contact with the camera, iPhone 14 Pro with visible camera array, soft focus on the model's intricate details, clean workspace with a ceramic mug and laptop nearby, warm afternoon light through a large glass window, authentic unposed photo quality."
39,"Chiringuito de playa, chica en bikini con pareo, gafas de sol, cóctel en la mano, fondo de mar azul, bronceada.","Pretty girl with no makeup, petite body, standing in a relaxed pose tugging one bikini string, eye-level mirror selfie taken with a silver iPhone with three cameras, tanned skin, soft oval face, dark brown hair in a low messy bun, pale green triangle bikini top and matching bottoms with pink side ties, tropical palm fronds and a black metal pool fence behind her, sunny backyard setting, dappled midday sunlight casting leaf shadows across her skin, amateur cellphone photo quality, slight sensor noise, over-sharpened edges, heavy HDR glow, blown-out highlights and crushed shadows, laid-back summer vibe, casual and authentic Tinder photo."
40,"Librería antigua, chica ojeando un libro viejo, ropa de lana cómoda (jersey cuello alto), gafas, expresión tímida.","Soft-focus mirror selfie taken with a black iPhone, slightly out-of-focus background of a cluttered old library with leather-bound books and a wooden desk, woman in her mid-20s with round glasses, fair skin with freckles, wearing a faded gray high-neck wool sweater with a loose fit, long brown hair in a messy low ponytail, shy expression with downcast eyes, one hand resting on a thick leather-bound book, warm golden-hour light filtering through dusty windows casting soft shadows, slight sensor noise, over-sharpened edges, blown-out highlights on the book pages, casual and unposed Tinder photo."
41,"Parking de noche (encuentro de coches), chica apoyada en un coche deportivo modificado, sudadera con capucha, actitud callejera.","Young woman in her late 20s with olive skin, messy dark brown hair in a high ponytail, wearing a black oversized hoodie with a faded band logo, standing with one hand on the hood of a modified silver sports car with racing stripes, casual smirk directed at the camera, nighttime parking lot setting with neon sign glow reflecting on wet asphalt, streetlight glare creating harsh shadows across her face, iPhone 14 Pro with triple camera array visible in the lower corner, slightly blurred background showing distant cars and a graffiti-covered wall, urban edgy vibe, casual leather boots, ripped black jeans with frayed knees, loose-fitting hoodie sleeves, natural skin imperfections, slight overexposure from car headlights, uneven lighting casting deep shadows under her eyes, relaxed posture with one leg slightly bent, authentic smartphone photo quality with sensor noise and soft focus."
